Serial_number,page 1,page 2,page 3,page 4,page 5,desired page score,Scaled ,Final
280,0.001744126421,0.004307908603,0.001214827353,0.0007316978736,99.99200144,99.99200144,9.999200144,10
281,0,40,0,0,60,60,6,6
282,23.07523632,46.15542145,0,7.691649266,23.07769296,23.07769296,2.307769296,2.31
283,15.9981276,32.00302961,20,0,31.99884279,31.99884279,3.199884279,3.2
284,0.02403901978,0.03428652442,99.8637354,0.03274986489,0.04518919192,0.04518919192,0.004518919192,0
285,0.001220703125,0.003662109375,99.99267578,0.001220703125,0.001220703125,0.001220703125,0.0001220703125,0
286,24.99931574,24.99701023,0,16.66782022,33.33585382,33.33585382,3.333585382,3.33
287,25.00202699,24.99777014,1.78E-14,1.78E-14,50.00020287,50.00020287,5.000020287,5
288,59.99634207,20,4.18E-06,20,0.003653746369,0.003653746369,0.0003653746369,0
289,37.50111015,12.50154114,0,0,49.99734871,49.99734871,4.999734871,5
290,0.006855866935,33.33039107,0.003761011035,0,66.65899206,66.65899206,6.665899206,6.67
291,37.50055237,12.50217378,0,0,49.99727385,49.99727385,4.999727385,5
292,25.92834805,7.40667278,7.40667278,22.22424394,37.03406245,37.03406245,3.703406245,3.7
293,0,0,0,0,100,100,10,10
294,16.66883255,22.22111342,11.11022885,5.554985036,44.44484014,44.44484014,4.444484014,4.44
295,17.64656878,26.46941178,0,11.76454667,44.11947277,44.11947277,4.411947277,4.41
296,18.18240812,27.27215584,0,4.77E-06,54.54543127,54.54543127,5.454543127,5.45
297,23.07878331,11.53931561,15.38297442,15.38523501,34.61369166,34.61369166,3.461369166,3.46
298,0.0048828125,0,33.33007813,0,66.66503906,66.66503906,6.666503906,6.67
299,8.825831911,2.942681808,20.5866253,23.53114137,44.11371961,44.11371961,4.411371961,4.41
300,23.07670113,15.38442014,7.692280985,30.76914301,23.07745473,23.07745473,2.307745473,2.31
